run_name	grating_value[um]	date_time	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-162.txt	2025_09_04_20:28:41	3.5217	7.27E+08	6167.918	0.20044069	0.002130845	1.01E-05	3.64E-08	1.13E-05	4.10E-07	0.024277947	0.000149788	-1.511854	0.004145066	2.02E-08	1.55E-10	0.000939586	2.09E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-163.txt	2025_09_04_20:29:41	3.5217	7.27E+08	6134.4207	0.19601278	0.001986427	9.98E-06	3.43E-08	1.05E-05	4.00E-07	0.024592458	9.78E-05	-1.4876035	0.003944442	1.98E-08	NaN	0.001046286	1.99E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-164.txt	2025_09_04_20:30:41	3.5217	7.27E+08	5821.2592	0.20133251	0.001969618	1.01E-05	3.32E-08	1.06E-05	3.84E-07	0.024525279	9.48E-05	-1.4607111	0.003836401	1.99E-08	NaN	0.00118176	1.92E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-165.txt	2025_09_04_20:31:41	3.5217	7.27E+08	5641.5765	0.20046606	0.001967631	1.01E-05	3.38E-08	1.18E-05	3.74E-07	0.023693365	0.00013672	-1.5096536	0.003877521	2.04E-08	1.46E-10	0.000805529	1.91E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-166.txt	2025_09_04_20:32:42	3.5217	7.27E+08	5699.4651	0.20242343	0.001989208	1.01E-05	3.39E-08	1.20E-05	3.72E-07	0.024426577	0.000139936	-1.5129285	0.003848358	2.00E-08	1.42E-10	0.000941225	1.93E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-167.txt	2025_09_04_20:33:42	3.5217	7.27E+08	5836.635	0.19756983	0.002053531	1.01E-05	3.52E-08	1.05E-05	4.10E-07	0.024927532	9.98E-05	-1.505682	0.003970679	1.98E-08	NaN	0.000909045	2.03E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-168.txt	2025_09_04_20:34:42	3.5217	7.27E+08	5970.5678	0.20461697	0.002038914	1.02E-05	3.42E-08	1.15E-05	3.82E-07	0.024923243	9.76E-05	-1.5064601	0.003886212	1.98E-08	NaN	0.001067024	1.96E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-169.txt	2025_09_04_20:35:42	3.5217	7.27E+08	5816.7741	0.2007151	0.001982864	1.01E-05	3.38E-08	1.12E-05	3.82E-07	0.024668171	9.53E-05	-1.488561	0.003832547	1.98E-08	NaN	0.000793019	1.93E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-170.txt	2025_09_04_20:36:42	3.5217	7.27E+08	5919.1197	0.20111587	0.001874963	1.01E-05	3.18E-08	1.10E-05	3.62E-07	0.024558675	9.05E-05	-1.4739894	0.00365601	1.97E-08	NaN	0.001111628	1.82E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-171.txt	2025_09_04_20:37:42	3.5217	7.27E+08	5502.8443	0.20211693	0.001971678	1.01E-05	3.35E-08	1.16E-05	3.74E-07	0.024058252	0.000137518	-1.5118786	0.003840185	2.03E-08	1.44E-10	0.000996921	1.92E-05
