run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-25.txt,2025_09_04_18:11:20,3.4,2464.5502,7.248677e+08,5784.9135,0.18943591,0.0020110269,9.4380512e-06,3.2888992e-08,8.6741067e-06,4.3695598e-07,0.025018554,0.00014045338,-1.474181,0.0037684039,2.0271638e-08,1.4147699e-10,0.00093132193,1.9580863e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-26.txt,2025_09_04_18:12:20,3.4,2464.3906,7.2482077e+08,5743.9467,0.18939342,0.0020729862,9.4449123e-06,3.3530048e-08,7.6303398e-06,4.6173806e-07,0.025143934,0.00014313188,-1.487109,0.0038210125,2.0544043e-08,1.4565162e-10,0.0012993801,2.0154399e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-27.txt,2025_09_04_18:13:20,3.4,2464.8304,7.249501e+08,6063.6029,0.1892961,0.0021328255,9.4075615e-06,3.4626124e-08,8.0032318e-06,4.7175815e-07,0.025535657,0.00014838232,-1.4999024,0.0038997875,2.0492789e-08,1.4824782e-10,0.0010740564,2.0908108e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-28.txt,2025_09_04_18:14:20,3.4,2464.3634,7.2481277e+08,5825.2958,0.19022099,0.0020746381,9.4710607e-06,3.3610706e-08,8.1196583e-06,4.5438702e-07,0.025403392,0.0001430187,-1.4811393,0.0037791474,2.0483973e-08,1.4357277e-10,0.0012628062,2.0054438e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-29.txt,2025_09_04_18:15:20,3.4,2463.8373,7.2465802e+08,5845.2049,0.19665817,0.0020916331,9.5232974e-06,3.3475803e-08,9.9063551e-06,4.2346784e-07,0.025507978,0.00014442083,-1.4657948,0.0038004049,2.0243651e-08,1.4245536e-10,0.0010245671,1.9987841e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-30.txt,2025_09_04_18:16:20,3.4,2463.7597,7.2463522e+08,5439.8561,0.19242422,0.0019640422,9.4828236e-06,3.1766666e-08,8.9901116e-06,4.1625654e-07,0.025051465,0.00013648798,-1.4598113,0.0036574053,2.0229542e-08,1.3697943e-10,0.0010495722,1.8935622e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-31.txt,2025_09_04_18:17:20,3.4,2464.3577,7.2481109e+08,5569.091,0.19492958,0.0020527711,9.5061731e-06,3.3039276e-08,9.6589856e-06,4.2212892e-07,0.024965734,0.00014195405,-1.4647389,0.0038171424,2.0266924e-08,1.4325835e-10,0.0010441521,1.9690072e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-32.txt,2025_09_04_18:18:21,3.4,2464.0461,7.2471944e+08,6042.1938,0.18576883,0.0020420347,9.3611856e-06,3.3040507e-08,6.0503903e-06,4.8230683e-07,0.025796708,0.00014459464,-1.470487,0.0037622421,2.0210818e-08,1.4076898e-10,0.0011138572,2.0224401e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-33.txt,2025_09_04_18:19:21,3.4,2465.0449,7.2501319e+08,5817.6023,0.19801764,0.0021252008,9.5125888e-06,3.3497277e-08,9.1784954e-06,4.3521776e-07,0.025866792,0.00014572043,-1.4854842,0.0037816664,2.0464036e-08,1.4350651e-10,0.001306397,2.0356854e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-34.txt,2025_09_04_18:20:21,3.4,2465.6705,7.2519722e+08,5829.465,0.19061937,0.0021189086,9.3834362e-06,3.4189459e-08,8.1303329e-06,4.6441792e-07,0.025393534,0.00014706743,-1.4921258,0.0038883872,2.0641875e-08,1.4900189e-10,0.0011580671,2.0883225e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-35.txt,2025_09_04_18:21:21,3.4,2466.3176,7.2538752e+08,5738.5842,0.18449254,0.0039792322,9.3212221e-06,6.5276575e-08,6.728484e-06,9.3292226e-07,0.011973894,0.00018595574,-1.3412186,0.010529823,3.6014841e-08,7.4220309e-10,0.0010711569,3.9799901e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-36.txt,2025_09_04_18:22:22,3.4,2466.3234,7.2538924e+08,5762.2946,0.19192947,0.0021031127,9.4305982e-06,3.3918574e-08,8.6100113e-06,4.5184063e-07,0.025655985,0.00014600565,-1.498208,0.0038203085,2.0454929e-08,1.4489792e-10,0.0014398173,2.0511748e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-37.txt,2025_09_04_18:23:22,3.4,2465.5617,7.251652e+08,5684.8872,0.19327787,0.0021037663,9.4496254e-06,3.3716692e-08,8.6343755e-06,4.4826327e-07,0.025657713,0.00014526938,-1.4703608,0.0038021977,2.0515677e-08,1.4466451e-10,0.0011983745,2.0431958e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-38.txt,2025_09_04_18:24:22,3.4,2464.9635,7.2498926e+08,6260.0992,0.1900782,0.0021720132,9.4382768e-06,3.4899772e-08,7.3701406e-06,4.8511849e-07,0.026040337,0.00015184909,-1.4640792,0.0039151775,2.024118e-08,1.467148e-10,0.0010822736,2.1147016e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-39.txt,2025_09_04_18:25:23,3.4,2465.8254,7.2524277e+08,5626.0267,0.19242125,0.0021053502,9.4174845e-06,3.3866896e-08,8.634799e-06,4.5110392e-07,0.025037187,0.00014521688,-1.4948704,0.003894117,2.0673981e-08,1.4948475e-10,0.0010519945,2.0593659e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-40.txt,2025_09_04_18:26:23,3.4,2465.3725,7.2510955e+08,5980.5781,0.19140903,0.0021437022,9.4151113e-06,3.4672502e-08,8.6585692e-06,4.6152959e-07,0.025339203,0.00014928122,-1.4687874,0.0039560401,2.0429326e-08,1.4980377e-10,0.00097304696,2.0978946e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-41.txt,2025_09_04_18:27:22,3.4,2465.731,7.25215e+08,5747.3212,0.19961968,0.0021713618,9.543508e-06,3.4173863e-08,9.6983802e-06,4.3501068e-07,0.02521947,0.00014860612,-1.4839654,0.0039558993,2.0393116e-08,1.4951755e-10,0.0011958734,2.0658752e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-42.txt,2025_09_04_18:28:22,3.4,2465.1177,7.2503461e+08,5659.783,0.19454036,0.0020521086,9.4603989e-06,3.270948e-08,8.7066481e-06,4.334992e-07,0.025474486,0.00014296686,-1.4734208,0.0037675559,2.0249181e-08,1.4125784e-10,0.0011250519,1.988255e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-43.txt,2025_09_04_18:29:22,3.4,2465.8129,7.2523909e+08,5534.3886,0.1924805,0.0019980924,9.4577889e-06,3.2152927e-08,8.6089661e-06,4.2764892e-07,0.025033839,0.00013838287,-1.480376,0.0037114516,2.0410078e-08,1.4040298e-10,0.001133721,1.9370671e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-44.txt,2025_09_04_18:30:23,3.4,2465.0552,7.2501623e+08,5584.5429,0.19282382,0.0020527101,9.45948e-06,3.3072603e-08,8.8781404e-06,4.3568846e-07,0.024941425,0.00014199913,-1.4715754,0.0038226507,2.0433665e-08,1.4479734e-10,0.0010925104,1.9892768e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/data/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-45.txt,2025_09_04_18:31:23,3.4,2466.42,7.2541764e+08,5808.2866,0.18951023,0.0020291326,9.3793589e-06,3.2920648e-08,8.1050089e-06,4.476747e-07,0.024661832,0.00013976389,-1.5003188,0.0038055717,2.0858577e-08,1.4755305e-10,0.0011343109,2.0017016e-05
