run_name,date_time,grating_value[um],SAW_speed[m/s],SAW_freq[Hz],SAW_freq_error[Hz],A[Wm^-2],A_err[Wm^-2],alpha[m^2s^-1],alpha_err[m2s-1],beta[s^0.5],beta_err[s^0.5],B[Wm^-2],B_err[Wm^-2],theta,theta_err,tau[s],tau_err[s],C[Wm^-2],C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-522.txt,2025_09_09_00:57:10,3.5217,2545.6985,7.2286069e+08,7872.2059,0.12206506,0.0021611031,1.0451617e-05,5.2039764e-08,1.6756203e-07,8.8196629e-07,0.0069125306,9.4028677e-05,-2.8204302,0.0091834733,3.3440431e-08,5.9327654e-10,-0.00055747445,1.8317514e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-523.txt,2025_09_09_00:58:10,3.5217,2544.5243,7.2252728e+08,7629.5354,0.11998078,0.0018695856,1.0627635e-05,4.5995219e-08,1.2198131e-06,7.5878353e-07,0.0074602762,8.3185635e-05,2.9254502,0.0074922374,3.0738038e-08,4.4134462e-10,-0.0002390573,1.5020828e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-524.txt,2025_09_09_00:59:11,3.5217,2545.1784,7.2271302e+08,7245.5366,0.12118096,0.0019931235,1.0530134e-05,4.7877983e-08,3.2201601e-08,8.2244102e-07,0.0075347641,8.8215858e-05,2.8990993,0.0078672459,3.1566823e-08,4.7725995e-10,-0.00041223077,1.6330305e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-525.txt,2025_09_09_01:00:11,3.5217,2544.8817,7.2262877e+08,7431.5467,0.12250712,0.0014197858,1.0390468e-05,3.3648374e-08,4.8300608e-08,5.8156517e-07,0.013558317,9.0358883e-05,2.7355899,0.0044258558,2.0217378e-08,1.6369838e-10,-0.00040056299,1.1954994e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-526.txt,2025_09_09_01:01:11,3.5217,2544.394,7.2249027e+08,7242.3099,0.11716531,0.0019655035,1.0431806e-05,4.9232774e-08,5.8413906e-08,8.3796432e-07,0.0073762703,8.960238e-05,-2.9932944,0.0081691109,3.1501542e-08,4.9533698e-10,-0.00050531922,1.672104e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-527.txt,2025_09_09_01:02:11,3.5217,2544.7115,7.2258043e+08,6670.9082,0.12692903,0.0021844785,1.0499225e-05,5.0772022e-08,1.3818466e-06,8.3818332e-07,0.0077114832,9.7082063e-05,2.9604794,0.0084680066,3.1550091e-08,5.1307487e-10,-0.00063002773,1.8005081e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-528.txt,2025_09_09_01:03:11,3.5217,2544.7857,7.226015e+08,6823.707,0.12328834,0.0012975038,1.037407e-05,3.1435282e-08,9.671596e-07,5.1538915e-07,0.013264472,8.1292184e-05,-2.6008595,0.0040976438,2.1246836e-08,1.6095811e-10,-0.00045795937,1.1363991e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-529.txt,2025_09_09_01:04:11,3.5217,2545.2091,7.2272171e+08,6848.9624,0.12046429,0.0019445801,1.0425344e-05,4.7431273e-08,1.8467749e-07,8.0444862e-07,0.0074676989,8.8017744e-05,-2.9974284,0.0079282858,3.1859554e-08,4.8669098e-10,-0.00044226314,1.6564991e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-530.txt,2025_09_09_01:05:12,3.5217,2545.564,7.2282249e+08,6929.6404,0.1193989,0.0018033323,1.053835e-05,4.4433562e-08,1.2566425e-07,7.513189e-07,0.0082521368,8.4311363e-05,-2.9919145,0.0068665803,2.9780284e-08,3.9145834e-10,-0.00040342866,1.5014081e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-531.txt,2025_09_09_01:06:12,3.5217,2546.0895,7.229717e+08,7135.3951,0.12089788,0.0018225461,1.039123e-05,4.4238822e-08,1.2127662e-07,7.5290973e-07,0.0084463509,8.701003e-05,-3.0282146,0.0069199076,2.9772181e-08,3.9450886e-10,-0.0005528434,1.5631877e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-532.txt,2025_09_09_01:07:12,3.5217,2545.9764,7.2293961e+08,6918.369,0.12525735,0.001814593,1.0507539e-05,4.3151435e-08,1.3759566e-06,7.0322188e-07,0.0085034374,8.5816487e-05,-3.0139098,0.0067795084,2.9492312e-08,3.8247365e-10,-0.00045762112,1.5201437e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-533.txt,2025_09_09_01:08:12,3.5217,2545.7547,7.2287665e+08,6769.4605,0.12935495,0.003156827,1.0518747e-05,7.4471362e-08,2.7368908e-06,1.1473696e-06,0.0073480575,0.00014888559,-2.0644492,0.013769405,2.9862682e-08,7.8379324e-10,-0.00049666083,2.6871128e-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/0909-during/data/V44_832864-09-09-2025-03.40um-470C-5MeV_Fe-irrad-POS-534.txt,2025_09_09_01:09:12,3.5217,2544.8943,7.2263233e+08,6993.3227,0.11828643,0.0018786587,1.0456067e-05,4.6721879e-08,2.5074722e-07,7.8980062e-07,0.0076679174,8.5804088e-05,-2.964724,0.0075287282,3.1253386e-08,4.5240888e-10,-0.00029030364,1.5903597e-05
