Study Name	Tungsten_Calibration
Sample Name	09-03-2025
Run Name	spot01
Operator	Alicia
Date	9/3/2025
Time	11:53
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:53:45 AM
	
Time	Amplitude
9.400000E-9	3.049328E-4
9.450000E-9	2.638220E-4
9.500000E-9	2.415537E-4
9.550000E-9	1.798875E-4
9.600000E-9	7.882342E-5
9.650000E-9	2.400902E-5
9.700000E-9	5.141622E-5
9.750000E-9	1.028047E-4
9.800000E-9	1.353508E-4
9.850000E-9	1.610450E-4
9.900000E-9	1.987299E-4
9.950000E-9	2.415537E-4
1.000000E-8	2.586832E-4
1.005000E-8	2.415537E-4
1.010000E-8	2.278501E-4
1.015000E-8	2.535443E-4
1.020000E-8	2.946551E-4
1.025000E-8	3.117846E-4
1.030000E-8	3.511825E-4
1.035000E-8	4.334041E-4
1.040000E-8	4.899314E-4
1.045000E-8	5.087739E-4
1.050000E-8	5.515976E-4
1.055000E-8	6.286804E-4
1.060000E-8	6.663653E-4
1.065000E-8	6.321063E-4
1.070000E-8	5.515976E-4
1.075000E-8	4.402559E-4
1.080000E-8	3.134976E-4
1.085000E-8	1.816004E-4
1.090000E-8	3.771262E-5
1.095000E-8	-9.589748E-5
1.100000E-8	-1.883968E-4
1.105000E-8	-2.397853E-4
1.110000E-8	-2.586277E-4
1.115000E-8	-2.209428E-4
1.120000E-8	-1.370083E-4
1.125000E-8	-4.450898E-5
1.130000E-8	5.998097E-5
1.135000E-8	1.850263E-4
1.140000E-8	3.083587E-4
1.145000E-8	4.334041E-4
1.150000E-8	6.029861E-4
1.155000E-8	8.085401E-4
1.160000E-8	1.014094E-3
1.165000E-8	1.289879E-3
1.170000E-8	1.730107E-3
1.175000E-8	2.324501E-3
1.180000E-8	3.050792E-3
1.185000E-8	3.980924E-3
1.190000E-8	5.167998E-3
1.195000E-8	6.600024E-3
1.200000E-8	8.273576E-3
1.205000E-8	1.017838E-2
1.210000E-8	1.224077E-2
1.215000E-8	1.445047E-2
1.220000E-8	1.684347E-2
1.225000E-8	1.936322E-2
1.230000E-8	2.190523E-2
1.235000E-8	2.446609E-2
1.240000E-8	2.704408E-2
1.245000E-8	2.955184E-2
1.250000E-8	3.190886E-2
1.255000E-8	3.411343E-2
1.260000E-8	3.611929E-2
1.265000E-8	3.780141E-2
1.270000E-8	3.907756E-2
1.275000E-8	3.994774E-2
1.280000E-8	4.041708E-2
1.285000E-8	4.045134E-2
1.290000E-8	4.004537E-2
1.295000E-8	3.926084E-2
1.300000E-8	3.813715E-2
1.305000E-8	3.672396E-2
1.310000E-8	3.513092E-2
1.315000E-8	3.344195E-2
1.320000E-8	3.166220E-2
1.325000E-8	2.986531E-2
1.330000E-8	2.818833E-2
1.335000E-8	2.668608E-2
1.340000E-8	2.535169E-2
1.345000E-8	2.421086E-2
1.350000E-8	2.326189E-2
1.355000E-8	2.249620E-2
1.360000E-8	2.198745E-2
1.365000E-8	2.177847E-2
1.370000E-8	2.179047E-2
1.375000E-8	2.197033E-2
1.380000E-8	2.229579E-2
1.385000E-8	2.271375E-2
