Study Name	V44_832864
Sample Name	09-04-2025
Run Name	470C-Fe-into-V44
Operator	Alicia
Date	9/4/2025
Time	14:25
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	12
dt	50.000001E-12
time stamp (ms)	2:37:51 PM
	
Time	Amplitude
0.000000E+0	-4.162191E-4
5.000000E-11	-3.477011E-4
1.000000E-10	-2.945997E-4
1.500000E-10	-2.671925E-4
2.000000E-10	-2.414982E-4
2.500000E-10	-1.798320E-4
3.000000E-10	-8.733273E-5
3.500000E-10	-1.367588E-5
4.000000E-10	3.599967E-5
4.500000E-10	1.079436E-4
5.000000E-10	1.970170E-4
5.500000E-10	2.569702E-4
6.000000E-10	2.758127E-4
6.500000E-10	2.672479E-4
7.000000E-10	2.415537E-4
7.500000E-10	1.850263E-4
8.000000E-10	9.423997E-5
8.500000E-10	-8.537031E-6
9.000000E-10	-9.761043E-5
9.500000E-10	-1.661284E-4
1.000000E-9	-2.158040E-4
1.050000E-9	-2.449241E-4
1.100000E-9	-2.466371E-4
1.150000E-9	-2.226558E-4
1.200000E-9	-1.883968E-4
1.250000E-9	-1.541378E-4
1.300000E-9	-1.044622E-4
1.350000E-9	-4.279603E-5
1.400000E-9	1.740669E-6
1.450000E-9	1.887017E-5
1.500000E-9	2.572197E-5
1.550000E-9	2.400902E-5
1.600000E-9	1.740669E-6
1.650000E-9	-3.080538E-5
1.700000E-9	-7.705503E-5
1.750000E-9	-1.541378E-4
1.800000E-9	-2.449241E-4
1.850000E-9	-3.202939E-4
1.900000E-9	-3.922378E-4
1.950000E-9	-4.607558E-4
2.000000E-9	-4.984407E-4
2.050000E-9	-4.984407E-4
2.100000E-9	-4.898760E-4
2.150000E-9	-4.813112E-4
2.200000E-9	-4.384875E-4
2.250000E-9	-3.648306E-4
2.300000E-9	-2.911738E-4
2.350000E-9	-2.158040E-4
2.400000E-9	-1.318694E-4
2.450000E-9	-4.964783E-5
2.500000E-9	-1.685231E-6
