Study Name	V44_832864
Sample Name	09-04-2025
Run Name	470C-baseline
Operator	Alicia
Date	9/4/2025
Time	14:43
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	2:48:13 PM
	
Time	Amplitude
0.000000E+0	-2.432112E-4
5.000000E-11	-2.175169E-4
1.000000E-10	-1.883968E-4
1.500000E-10	-1.712673E-4
2.000000E-10	-1.575637E-4
2.500000E-10	-1.352953E-4
3.000000E-10	-9.761043E-5
3.500000E-10	-7.020323E-5
4.000000E-10	-5.992553E-5
4.500000E-10	-6.849028E-5
5.000000E-10	-1.130270E-4
5.500000E-10	-1.849709E-4
6.000000E-10	-2.774702E-4
6.500000E-10	-3.888119E-4
7.000000E-10	-5.172832E-4
7.500000E-10	-6.508933E-4
8.000000E-10	-7.810775E-4
8.500000E-10	-8.975581E-4
9.000000E-10	-9.814927E-4
9.500000E-10	-1.024316E-3
1.000000E-9	-1.012326E-3
1.050000E-9	-9.455207E-4
1.100000E-9	-8.427437E-4
1.150000E-9	-7.159854E-4
1.200000E-9	-5.703846E-4
1.250000E-9	-4.367745E-4
1.300000E-9	-3.477011E-4
1.350000E-9	-2.945997E-4
1.400000E-9	-2.671925E-4
1.450000E-9	-2.723313E-4
1.500000E-9	-3.014515E-4
1.550000E-9	-3.562659E-4
1.600000E-9	-4.264968E-4
1.650000E-9	-4.967278E-4
1.700000E-9	-5.566810E-4
1.750000E-9	-6.029307E-4
1.800000E-9	-6.320509E-4
1.850000E-9	-6.371897E-4
1.900000E-9	-6.166343E-4
1.950000E-9	-5.618199E-4
2.000000E-9	-4.727465E-4
2.050000E-9	-3.768213E-4
2.100000E-9	-2.894608E-4
2.150000E-9	-2.021004E-4
2.200000E-9	-1.318694E-4
2.250000E-9	-9.761043E-5
2.300000E-9	-8.219388E-5
2.350000E-9	-6.677733E-5
2.400000E-9	-5.478668E-5
2.450000E-9	-4.450898E-5
2.500000E-9	-2.052768E-5
2.550000E-9	5.166569E-6
2.600000E-9	2.400902E-5
2.650000E-9	4.799032E-5
2.700000E-9	9.423997E-5
2.750000E-9	1.370637E-4
2.800000E-9	1.507673E-4
2.850000E-9	1.353508E-4
2.900000E-9	9.766587E-5
2.950000E-9	4.456442E-5
3.000000E-9	-1.881473E-5
3.050000E-9	-8.390683E-5
3.100000E-9	-1.558507E-4
3.150000E-9	-2.312205E-4
3.200000E-9	-3.048774E-4
3.250000E-9	-3.819601E-4
3.300000E-9	-4.658947E-4
3.350000E-9	-5.361256E-4
3.400000E-9	-5.789494E-4
3.450000E-9	-6.097825E-4
3.500000E-9	-6.149213E-4
3.550000E-9	-5.772364E-4
3.600000E-9	-5.172832E-4
3.650000E-9	-4.436263E-4
3.700000E-9	-3.425623E-4
3.750000E-9	-2.123781E-4
3.800000E-9	-8.219388E-5
3.850000E-9	4.113852E-5
3.900000E-9	1.490544E-4
3.950000E-9	2.295630E-4
4.000000E-9	2.878033E-4
4.050000E-9	3.220623E-4
4.100000E-9	3.083587E-4
4.150000E-9	2.295630E-4
4.200000E-9	1.216472E-4
4.250000E-9	1.201837E-5
4.300000E-9	-9.418453E-5
4.350000E-9	-1.952486E-4
4.400000E-9	-2.826090E-4
4.450000E-9	-3.511270E-4
4.500000E-9	-3.973767E-4
4.550000E-9	-4.093673E-4
4.600000E-9	-4.076544E-4
4.650000E-9	-3.990896E-4
