Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-Fe3p-5MeV-irradiation
Operator	Alicia
Date	9/4/2025
Time	17:46
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	93
dt	50.000001E-12
time stamp (ms)	7:19:30 PM
	
Time	Amplitude
0.000000E+0	-2.281712E-3
5.000000E-11	-2.291990E-3
1.000000E-10	-2.257731E-3
1.500000E-10	-2.220046E-3
2.000000E-10	-2.165232E-3
2.500000E-10	-2.093288E-3
3.000000E-10	-2.021345E-3
3.500000E-10	-1.952827E-3
4.000000E-10	-1.874031E-3
4.500000E-10	-1.819217E-3
5.000000E-10	-1.812365E-3
5.500000E-10	-1.812365E-3
6.000000E-10	-1.798662E-3
6.500000E-10	-1.812365E-3
7.000000E-10	-1.850050E-3
7.500000E-10	-1.870605E-3
8.000000E-10	-1.880883E-3
8.500000E-10	-1.887735E-3
9.000000E-10	-1.887735E-3
9.500000E-10	-1.877457E-3
1.000000E-9	-1.860328E-3
1.050000E-9	-1.853476E-3
1.100000E-9	-1.860328E-3
1.150000E-9	-1.860328E-3
1.200000E-9	-1.846624E-3
1.250000E-9	-1.860328E-3
1.300000E-9	-1.898013E-3
1.350000E-9	-1.921994E-3
1.400000E-9	-1.963104E-3
1.450000E-9	-2.038474E-3
1.500000E-9	-2.113844E-3
1.550000E-9	-2.182361E-3
1.600000E-9	-2.274860E-3
1.650000E-9	-2.367360E-3
1.700000E-9	-2.408470E-3
1.750000E-9	-2.394767E-3
1.800000E-9	-2.360508E-3
1.850000E-9	-2.315971E-3
1.900000E-9	-2.240602E-3
1.950000E-9	-2.124121E-3
2.000000E-9	-1.983660E-3
2.050000E-9	-1.860328E-3
2.100000E-9	-1.740422E-3
2.150000E-9	-1.627367E-3
2.200000E-9	-1.528016E-3
2.250000E-9	-1.459499E-3
2.300000E-9	-1.404684E-3
2.350000E-9	-1.390981E-3
2.400000E-9	-1.418388E-3
2.450000E-9	-1.456073E-3
2.500000E-9	-1.504035E-3
2.550000E-9	-1.579405E-3
2.600000E-9	-1.647923E-3
2.650000E-9	-1.695885E-3
2.700000E-9	-1.733570E-3
2.750000E-9	-1.730144E-3
2.800000E-9	-1.685607E-3
2.850000E-9	-1.613664E-3
2.900000E-9	-1.531442E-3
2.950000E-9	-1.421814E-3
3.000000E-9	-1.295056E-3
3.050000E-9	-1.188853E-3
3.100000E-9	-1.113484E-3
3.150000E-9	-1.041540E-3
3.200000E-9	-1.007281E-3
3.250000E-9	-1.044966E-3
3.300000E-9	-1.123761E-3
3.350000E-9	-1.212835E-3
3.400000E-9	-1.349870E-3
3.450000E-9	-1.528016E-3
3.500000E-9	-1.699311E-3
3.550000E-9	-1.874031E-3
3.600000E-9	-2.041900E-3
3.650000E-9	-2.175510E-3
3.700000E-9	-2.268009E-3
3.750000E-9	-2.326249E-3
3.800000E-9	-2.343378E-3
3.850000E-9	-2.319397E-3
3.900000E-9	-2.254305E-3
3.950000E-9	-2.117270E-3
4.000000E-9	-1.939123E-3
4.050000E-9	-1.771255E-3
4.100000E-9	-1.627367E-3
4.150000E-9	-1.490332E-3
4.200000E-9	-1.394407E-3
4.250000E-9	-1.353296E-3
4.300000E-9	-1.356722E-3
4.350000E-9	-1.387555E-3
4.400000E-9	-1.459499E-3
4.450000E-9	-1.565701E-3
4.500000E-9	-1.685607E-3
4.550000E-9	-1.795236E-3
4.600000E-9	-1.901438E-3
4.650000E-9	-2.011067E-3
4.700000E-9	-2.110418E-3
4.750000E-9	-2.178936E-3
4.800000E-9	-2.233750E-3
4.850000E-9	-2.274860E-3
