Study Name	V44_832864_470C
Sample Name	09-04-2025
Run Name	470C-Fe3p-5MeV-irradiation
Operator	Alicia
Date	9/4/2025
Time	17:46
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	42
dt	50.000001E-12
time stamp (ms)	6:28:22 PM
	
Time	Amplitude
0.000000E+0	1.061917E-4
5.000000E-11	8.563638E-5
1.000000E-10	7.878460E-5
1.500000E-10	6.850693E-5
2.000000E-10	5.137748E-5
2.500000E-10	3.767392E-5
3.000000E-10	3.424803E-5
3.500000E-10	2.739625E-5
4.000000E-10	-3.436764E-6
4.500000E-10	-5.482512E-5
5.000000E-10	-1.027876E-4
5.500000E-10	-1.576018E-4
6.000000E-10	-2.363973E-4
6.500000E-10	-3.288963E-4
7.000000E-10	-4.111177E-4
7.500000E-10	-4.899132E-4
8.000000E-10	-5.584310E-4
8.500000E-10	-6.098193E-4
9.000000E-10	-6.475041E-4
9.500000E-10	-6.817630E-4
1.000000E-9	-6.988925E-4
1.050000E-9	-6.920407E-4
1.100000E-9	-6.817630E-4
1.150000E-9	-6.646336E-4
1.200000E-9	-6.406523E-4
1.250000E-9	-6.166711E-4
1.300000E-9	-5.721345E-4
1.350000E-9	-4.967649E-4
1.400000E-9	-4.179695E-4
1.450000E-9	-3.597293E-4
1.500000E-9	-2.912115E-4
1.550000E-9	-2.021384E-4
1.600000E-9	-1.301947E-4
1.650000E-9	-8.565813E-5
1.700000E-9	-4.797334E-5
1.750000E-9	-2.399210E-5
1.800000E-9	-3.426977E-5
1.850000E-9	-7.880635E-5
1.900000E-9	-1.404724E-4
1.950000E-9	-2.089902E-4
2.000000E-9	-2.877856E-4
2.050000E-9	-3.734329E-4
2.100000E-9	-4.488025E-4
2.150000E-9	-4.796355E-4
2.200000E-9	-4.762096E-4
2.250000E-9	-4.556543E-4
2.300000E-9	-4.145436E-4
2.350000E-9	-3.460258E-4
2.400000E-9	-2.740821E-4
2.450000E-9	-2.021384E-4
2.500000E-9	-1.233429E-4
2.550000E-9	-4.797334E-5
2.600000E-9	-1.371443E-5
2.650000E-9	-1.714032E-5
2.700000E-9	-3.426977E-5
2.750000E-9	-7.880635E-5
2.800000E-9	-1.541759E-4
2.850000E-9	-2.329714E-4
2.900000E-9	-3.151928E-4
2.950000E-9	-4.076918E-4
3.000000E-9	-5.070426E-4
3.050000E-9	-5.721345E-4
3.100000E-9	-6.063934E-4
3.150000E-9	-6.269488E-4
3.200000E-9	-6.543559E-4
3.250000E-9	-6.783371E-4
3.300000E-9	-6.851889E-4
3.350000E-9	-6.817630E-4
3.400000E-9	-6.954666E-4
3.450000E-9	-7.125960E-4
3.500000E-9	-7.194478E-4
3.550000E-9	-7.297255E-4
3.600000E-9	-7.365772E-4
3.650000E-9	-7.160219E-4
3.700000E-9	-6.680594E-4
3.750000E-9	-6.063934E-4
3.800000E-9	-5.310238E-4
3.850000E-9	-4.385248E-4
3.900000E-9	-3.460258E-4
3.950000E-9	-2.501009E-4
4.000000E-9	-1.713054E-4
4.050000E-9	-1.062135E-4
4.100000E-9	-5.139923E-5
4.150000E-9	-1.371443E-5
4.200000E-9	-1.087392E-8
4.250000E-9	-3.436764E-6
4.300000E-9	-6.862654E-6
4.350000E-9	-3.436764E-6
4.400000E-9	-3.436764E-6
4.450000E-9	-3.436764E-6
4.500000E-9	-1.028854E-5
4.550000E-9	-6.862654E-6
4.600000E-9	6.840906E-6
4.650000E-9	2.054447E-5
4.700000E-9	1.369269E-5
4.750000E-9	-2.056621E-5
4.800000E-9	-6.852868E-5
4.850000E-9	-1.164911E-4
4.900000E-9	-1.713054E-4
