Study Name	V44_832864
Sample Name	09-09-2025
Run Name	470C-5MeV_Fe-irrad
Operator	Alicia
Date	9/9/2025
Time	16:14
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	530
dt	50.000001E-12
time stamp (ms)	1:05:12 AM
	
Time	Amplitude
0.000000E+0	-1.062095E-3
5.000000E-11	-1.099780E-3
1.000000E-10	-1.134039E-3
1.500000E-10	-1.178576E-3
2.000000E-10	-1.236816E-3
2.500000E-10	-1.277926E-3
3.000000E-10	-1.295056E-3
3.500000E-10	-1.325889E-3
4.000000E-10	-1.373851E-3
4.500000E-10	-1.397833E-3
5.000000E-10	-1.404684E-3
5.500000E-10	-1.425240E-3
6.000000E-10	-1.449221E-3
6.500000E-10	-1.466350E-3
7.000000E-10	-1.490332E-3
7.500000E-10	-1.514313E-3
8.000000E-10	-1.507461E-3
8.500000E-10	-1.490332E-3
9.000000E-10	-1.473202E-3
9.500000E-10	-1.442369E-3
1.000000E-9	-1.394407E-3
1.050000E-9	-1.349870E-3
1.100000E-9	-1.308759E-3
1.150000E-9	-1.271075E-3
1.200000E-9	-1.233390E-3
1.250000E-9	-1.223112E-3
1.300000E-9	-1.233390E-3
1.350000E-9	-1.250519E-3
1.400000E-9	-1.281352E-3
1.450000E-9	-1.343018E-3
1.500000E-9	-1.418388E-3
1.550000E-9	-1.486906E-3
1.600000E-9	-1.551998E-3
1.650000E-9	-1.603386E-3
1.700000E-9	-1.637645E-3
1.750000E-9	-1.644497E-3
1.800000E-9	-1.647923E-3
1.850000E-9	-1.651348E-3
1.900000E-9	-1.623941E-3
1.950000E-9	-1.558849E-3
2.000000E-9	-1.476628E-3
2.050000E-9	-1.401259E-3
2.100000E-9	-1.315611E-3
2.150000E-9	-1.212835E-3
2.200000E-9	-1.127187E-3
2.250000E-9	-1.072373E-3
2.300000E-9	-1.044966E-3
2.350000E-9	-1.031262E-3
2.400000E-9	-1.034688E-3
2.450000E-9	-1.051818E-3
2.500000E-9	-1.096354E-3
2.550000E-9	-1.161446E-3
2.600000E-9	-1.229964E-3
2.650000E-9	-1.312185E-3
2.700000E-9	-1.384129E-3
2.750000E-9	-1.408110E-3
2.800000E-9	-1.404684E-3
2.850000E-9	-1.421814E-3
2.900000E-9	-1.428666E-3
2.950000E-9	-1.404684E-3
3.000000E-9	-1.387555E-3
3.050000E-9	-1.394407E-3
3.100000E-9	-1.404684E-3
3.150000E-9	-1.397833E-3
3.200000E-9	-1.404684E-3
3.250000E-9	-1.432092E-3
3.300000E-9	-1.445795E-3
3.350000E-9	-1.411536E-3
3.400000E-9	-1.356722E-3
3.450000E-9	-1.291630E-3
3.500000E-9	-1.199131E-3
3.550000E-9	-1.082651E-3
3.600000E-9	-9.627446E-4
3.650000E-9	-8.633938E-4
3.700000E-9	-8.188572E-4
3.750000E-9	-8.222831E-4
3.800000E-9	-8.565420E-4
3.850000E-9	-9.147821E-4
3.900000E-9	-1.014133E-3
3.950000E-9	-1.137465E-3
4.000000E-9	-1.274501E-3
4.050000E-9	-1.397833E-3
4.100000E-9	-1.466350E-3
4.150000E-9	-1.480054E-3
4.200000E-9	-1.466350E-3
4.250000E-9	-1.428666E-3
4.300000E-9	-1.343018E-3
4.350000E-9	-1.223112E-3
4.400000E-9	-1.116910E-3
4.450000E-9	-1.048392E-3
4.500000E-9	-1.017559E-3
4.550000E-9	-1.020985E-3
4.600000E-9	-1.068947E-3
4.650000E-9	-1.161446E-3
4.700000E-9	-1.281352E-3
4.750000E-9	-1.408110E-3
4.800000E-9	-1.534868E-3
4.850000E-9	-1.654774E-3
4.900000E-9	-1.736996E-3
4.950000E-9	-1.764403E-3
5.000000E-9	-1.750699E-3
5.050000E-9	-1.716440E-3
5.100000E-9	-1.651348E-3
5.150000E-9	-1.548572E-3
5.200000E-9	-1.445795E-3
5.250000E-9	-1.367000E-3
5.300000E-9	-1.305334E-3
5.350000E-9	-1.240242E-3
5.400000E-9	-1.209409E-3
5.450000E-9	-1.233390E-3
5.500000E-9	-1.257371E-3
5.550000E-9	-1.267649E-3
5.600000E-9	-1.295056E-3
5.650000E-9	-1.346444E-3
5.700000E-9	-1.401259E-3
5.750000E-9	-1.449221E-3
5.800000E-9	-1.500609E-3
5.850000E-9	-1.572553E-3
5.900000E-9	-1.658200E-3
5.950000E-9	-1.733570E-3
6.000000E-9	-1.778106E-3
6.050000E-9	-1.812365E-3
6.100000E-9	-1.826069E-3
6.150000E-9	-1.788384E-3
6.200000E-9	-1.713015E-3
6.250000E-9	-1.617090E-3
6.300000E-9	-1.466350E-3
6.350000E-9	-1.288204E-3
6.400000E-9	-1.137465E-3
6.450000E-9	-1.010707E-3
6.500000E-9	-8.976527E-4
6.550000E-9	-8.188572E-4
6.600000E-9	-7.983019E-4
6.650000E-9	-8.222831E-4
6.700000E-9	-8.839491E-4
6.750000E-9	-9.832999E-4
6.800000E-9	-1.103206E-3
6.850000E-9	-1.253945E-3
6.900000E-9	-1.401259E-3
6.950000E-9	-1.510887E-3
7.000000E-9	-1.589682E-3
7.050000E-9	-1.665052E-3
7.100000E-9	-1.726718E-3
7.150000E-9	-1.764403E-3
7.200000E-9	-1.771255E-3
7.250000E-9	-1.757551E-3
7.300000E-9	-1.730144E-3
7.350000E-9	-1.699311E-3
7.400000E-9	-1.678756E-3
7.450000E-9	-1.661626E-3
7.500000E-9	-1.627367E-3
7.550000E-9	-1.579405E-3
7.600000E-9	-1.572553E-3
7.650000E-9	-1.606812E-3
7.700000E-9	-1.599960E-3
7.750000E-9	-1.548572E-3
7.800000E-9	-1.524591E-3
7.850000E-9	-1.521165E-3
7.900000E-9	-1.490332E-3
7.950000E-9	-1.473202E-3
8.000000E-9	-1.456073E-3
8.050000E-9	-1.404684E-3
8.100000E-9	-1.377277E-3
8.150000E-9	-1.390981E-3
8.200000E-9	-1.363574E-3
8.250000E-9	-1.308759E-3
8.300000E-9	-1.336167E-3
8.350000E-9	-1.377277E-3
8.400000E-9	-1.363574E-3
8.450000E-9	-1.394407E-3
8.500000E-9	-1.490332E-3
8.550000E-9	-1.510887E-3
8.600000E-9	-1.480054E-3
8.650000E-9	-1.551998E-3
8.700000E-9	-1.682182E-3
8.750000E-9	-1.757551E-3
8.800000E-9	-1.802088E-3
8.850000E-9	-1.829495E-3
8.900000E-9	-1.808939E-3
8.950000E-9	-1.795236E-3
9.000000E-9	-1.808939E-3
9.050000E-9	-1.764403E-3
9.100000E-9	-1.685607E-3
9.150000E-9	-1.654774E-3
9.200000E-9	-1.617090E-3
9.250000E-9	-1.531442E-3
9.300000E-9	-1.483480E-3
9.350000E-9	-1.504035E-3
9.400000E-9	-1.534868E-3
9.450000E-9	-1.575979E-3
9.500000E-9	-1.620515E-3
9.550000E-9	-1.579405E-3
9.600000E-9	-1.507461E-3
9.650000E-9	-1.555424E-3
9.700000E-9	-1.665052E-3
9.750000E-9	-1.692459E-3
9.800000E-9	-1.699311E-3
9.850000E-9	-1.733570E-3
9.900000E-9	-1.733570E-3
9.950000E-9	-1.695885E-3
1.000000E-8	-1.661626E-3
1.005000E-8	-1.593108E-3
1.010000E-8	-1.483480E-3
1.015000E-8	-1.397833E-3
1.020000E-8	-1.305334E-3
1.025000E-8	-1.137465E-3
1.030000E-8	-1.000429E-3
1.035000E-8	-9.490410E-4
1.040000E-8	-8.736714E-4
1.045000E-8	-7.640430E-4
1.050000E-8	-7.640430E-4
1.055000E-8	-8.633938E-4
1.060000E-8	-9.284857E-4
1.065000E-8	-9.558928E-4
1.070000E-8	-1.044966E-3
1.075000E-8	-1.182002E-3
1.080000E-8	-1.281352E-3
1.085000E-8	-1.349870E-3
1.090000E-8	-1.421814E-3
1.095000E-8	-1.504035E-3
1.100000E-8	-1.562275E-3
1.105000E-8	-1.606812E-3
1.110000E-8	-1.634219E-3
1.115000E-8	-1.665052E-3
1.120000E-8	-1.709589E-3
1.125000E-8	-1.747273E-3
1.130000E-8	-1.764403E-3
1.135000E-8	-1.743848E-3
1.140000E-8	-1.699311E-3
1.145000E-8	-1.617090E-3
1.150000E-8	-1.442369E-3
1.155000E-8	-1.154594E-3
1.160000E-8	-7.297841E-4
1.165000E-8	-1.199756E-4
1.170000E-8	7.536264E-4
1.175000E-8	1.928707E-3
1.180000E-8	3.446376E-3
1.185000E-8	5.385430E-3
1.190000E-8	7.804108E-3
1.195000E-8	1.070926E-2
1.200000E-8	1.409404E-2
1.205000E-8	1.797215E-2
1.210000E-8	2.229562E-2
1.215000E-8	2.699594E-2
1.220000E-8	3.201145E-2
1.225000E-8	3.728047E-2
1.230000E-8	4.265911E-2
1.235000E-8	4.800350E-2
1.240000E-8	5.326567E-2
1.245000E-8	5.838052E-2
1.250000E-8	6.316649E-2
1.255000E-8	6.747969E-2
1.260000E-8	7.136122E-2
1.265000E-8	7.478369E-2
1.270000E-8	7.754838E-2
1.275000E-8	7.953882E-2
1.280000E-8	8.083381E-2
1.285000E-8	8.140936E-2
1.290000E-8	8.119353E-2
1.295000E-8	8.030965E-2
1.300000E-8	7.888448E-2
1.305000E-8	7.689403E-2
1.310000E-8	7.443767E-2
1.315000E-8	7.177575E-2
1.320000E-8	6.904532E-2
1.325000E-8	6.629090E-2
1.330000E-8	6.367695E-2
1.335000E-8	6.138160E-2
1.340000E-8	5.941857E-2
1.345000E-8	5.784951E-2
1.350000E-8	5.678748E-2
1.355000E-8	5.615712E-2
1.360000E-8	5.585907E-2
1.365000E-8	5.598925E-2
1.370000E-8	5.662989E-2
1.375000E-8	5.766109E-2
1.380000E-8	5.892867E-2
1.385000E-8	6.033671E-2
1.390000E-8	6.181669E-2
1.395000E-8	6.334806E-2
1.400000E-8	6.486231E-2
1.405000E-8	6.621553E-2
1.410000E-8	6.727413E-2
1.415000E-8	6.802440E-2
1.420000E-8	6.841838E-2
1.425000E-8	6.836699E-2
1.430000E-8	6.787024E-2
1.435000E-8	6.698636E-2
1.440000E-8	6.572906E-2
1.445000E-8	6.415315E-2
1.450000E-8	6.235798E-2
1.455000E-8	6.035041E-2
1.460000E-8	5.820923E-2
1.465000E-8	5.614684E-2
1.470000E-8	5.431399E-2
1.475000E-8	5.267642E-2
1.480000E-8	5.123754E-2
1.485000E-8	5.010015E-2
1.490000E-8	4.937043E-2
1.495000E-8	4.903470E-2
1.500000E-8	4.904155E-2
1.505000E-8	4.937728E-2
1.510000E-8	5.006589E-2
1.515000E-8	5.109708E-2
1.520000E-8	5.234411E-2
1.525000E-8	5.365965E-2
1.530000E-8	5.502315E-2
1.535000E-8	5.643119E-2
1.540000E-8	5.775016E-2
1.545000E-8	5.883617E-2
1.550000E-8	5.970292E-2
1.555000E-8	6.036754E-2
1.560000E-8	6.074096E-2
1.565000E-8	6.071698E-2
1.570000E-8	6.028874E-2
1.575000E-8	5.954190E-2
1.580000E-8	5.852099E-2
1.585000E-8	5.723628E-2
1.590000E-8	5.568435E-2
1.595000E-8	5.394057E-2
1.600000E-8	5.213170E-2
1.605000E-8	5.032626E-2
1.610000E-8	4.859276E-2
1.615000E-8	4.704425E-2
1.620000E-8	4.576640E-2
1.625000E-8	4.475918E-2
1.630000E-8	4.407401E-2
1.635000E-8	4.377253E-2
1.640000E-8	4.388558E-2
1.645000E-8	4.435150E-2
1.650000E-8	4.513603E-2
1.655000E-8	4.620148E-2
1.660000E-8	4.745193E-2
1.665000E-8	4.877090E-2
1.670000E-8	5.012070E-2
1.675000E-8	5.146365E-2
1.680000E-8	5.268669E-2
1.685000E-8	5.367678E-2
1.690000E-8	5.439964E-2
1.695000E-8	5.485528E-2
1.700000E-8	5.501630E-2
1.705000E-8	5.483130E-2
1.710000E-8	5.427288E-2
1.715000E-8	5.341983E-2
1.720000E-8	5.235438E-2
1.725000E-8	5.106282E-2
1.730000E-8	4.953830E-2
1.735000E-8	4.790073E-2
1.740000E-8	4.626658E-2
1.745000E-8	4.466669E-2
1.750000E-8	4.315587E-2
1.755000E-8	4.183347E-2
1.760000E-8	4.075089E-2
1.765000E-8	3.990127E-2
1.770000E-8	3.934970E-2
1.775000E-8	3.916128E-2
1.780000E-8	3.934628E-2
1.785000E-8	3.987387E-2
1.790000E-8	4.072349E-2
1.795000E-8	4.183005E-2
1.800000E-8	4.312846E-2
1.805000E-8	4.456391E-2
1.810000E-8	4.605417E-2
1.815000E-8	4.749647E-2
1.820000E-8	4.880516E-2
1.825000E-8	4.991515E-2
1.830000E-8	5.073394E-2
1.835000E-8	5.120671E-2
1.840000E-8	5.130949E-2
1.845000E-8	5.105940E-2
1.850000E-8	5.046329E-2
1.855000E-8	4.953488E-2
1.860000E-8	4.834267E-2
1.865000E-8	4.692435E-2
1.870000E-8	4.534844E-2
1.875000E-8	4.372457E-2
1.880000E-8	4.213153E-2
1.885000E-8	4.061386E-2
1.890000E-8	3.924008E-2
1.895000E-8	3.809240E-2
1.900000E-8	3.720510E-2
1.905000E-8	3.658501E-2
1.910000E-8	3.628011E-2
1.915000E-8	3.631437E-2
1.920000E-8	3.669807E-2
1.925000E-8	3.739352E-2
1.930000E-8	3.833907E-2
1.935000E-8	3.949359E-2
1.940000E-8	4.081599E-2
1.945000E-8	4.223430E-2
1.950000E-8	4.364234E-2
1.955000E-8	4.495446E-2
1.960000E-8	4.612954E-2
1.965000E-8	4.710935E-2
1.970000E-8	4.782878E-2
1.975000E-8	4.823646E-2
1.980000E-8	4.833924E-2
1.985000E-8	4.815082E-2
1.990000E-8	4.763693E-2
1.995000E-8	4.678046E-2
2.000000E-8	4.567047E-2
2.005000E-8	4.438234E-2
2.010000E-8	4.293661E-2
2.015000E-8	4.140181E-2
2.020000E-8	3.987729E-2
2.025000E-8	3.840073E-2
2.030000E-8	3.702010E-2
2.035000E-8	3.584844E-2
2.040000E-8	3.494058E-2
2.045000E-8	3.432735E-2
2.050000E-8	3.405670E-2
2.055000E-8	3.413550E-2
2.060000E-8	3.454318E-2
2.065000E-8	3.528660E-2
2.070000E-8	3.633492E-2
2.075000E-8	3.757852E-2
2.080000E-8	3.894202E-2
2.085000E-8	4.036377E-2
2.090000E-8	4.177866E-2
2.095000E-8	4.310791E-2
2.100000E-8	4.428299E-2
2.105000E-8	4.522168E-2
2.110000E-8	4.588973E-2
2.115000E-8	4.627000E-2
2.120000E-8	4.632824E-2
2.125000E-8	4.602334E-2
2.130000E-8	4.537242E-2
2.135000E-8	4.442345E-2
2.140000E-8	4.318328E-2
2.145000E-8	4.171014E-2
2.150000E-8	4.007257E-2
2.155000E-8	3.833907E-2
2.160000E-8	3.661584E-2
2.165000E-8	3.500910E-2
2.170000E-8	3.358393E-2
2.175000E-8	3.240542E-2
2.180000E-8	3.153182E-2
2.185000E-8	3.103507E-2
2.190000E-8	3.093914E-2
2.195000E-8	3.121322E-2
2.200000E-8	3.180589E-2
2.205000E-8	3.268977E-2
2.210000E-8	3.381347E-2
2.215000E-8	3.508447E-2
2.220000E-8	3.643427E-2
2.225000E-8	3.780120E-2
2.230000E-8	3.909619E-2
2.235000E-8	4.022673E-2
2.240000E-8	4.114487E-2
2.245000E-8	4.183005E-2
2.250000E-8	4.223773E-2
2.255000E-8	4.234051E-2
2.260000E-8	4.214180E-2
2.265000E-8	4.163477E-2
2.270000E-8	4.083654E-2
2.275000E-8	3.976766E-2
2.280000E-8	3.850351E-2
2.285000E-8	3.709204E-2
2.290000E-8	3.557780E-2
2.295000E-8	3.404300E-2
2.300000E-8	3.260070E-2
2.305000E-8	3.128516E-2
2.310000E-8	3.012721E-2
2.315000E-8	2.922962E-2
2.320000E-8	2.864722E-2
2.325000E-8	2.836630E-2
2.330000E-8	2.839371E-2
2.335000E-8	2.876028E-2
2.340000E-8	2.942490E-2
2.345000E-8	3.034304E-2
2.350000E-8	3.147016E-2
2.355000E-8	3.272403E-2
2.360000E-8	3.403615E-2
2.365000E-8	3.536882E-2
2.370000E-8	3.662270E-2
2.375000E-8	3.772583E-2
2.380000E-8	3.866453E-2
2.385000E-8	3.937369E-2
2.390000E-8	3.978822E-2
2.395000E-8	3.989099E-2
2.400000E-8	3.967859E-2
