Study Name	V44_832864
Sample Name	09-09-2025
Run Name	470C-5MeV_Fe-irrad
Operator	Alicia
Date	9/9/2025
Time	16:14
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	464
dt	50.000001E-12
time stamp (ms)	11:59:04 PM
	
Time	Amplitude
0.000000E+0	-7.983019E-4
5.000000E-11	-9.490410E-4
1.000000E-10	-1.123761E-3
1.500000E-10	-1.319037E-3
2.000000E-10	-1.517739E-3
2.500000E-10	-1.685607E-3
3.000000E-10	-1.798662E-3
3.500000E-10	-1.863754E-3
4.000000E-10	-1.901438E-3
4.500000E-10	-1.880883E-3
5.000000E-10	-1.805514E-3
5.500000E-10	-1.678756E-3
6.000000E-10	-1.534868E-3
6.500000E-10	-1.390981E-3
7.000000E-10	-1.250519E-3
7.500000E-10	-1.127187E-3
8.000000E-10	-1.031262E-3
8.500000E-10	-9.627446E-4
9.000000E-10	-9.284857E-4
9.500000E-10	-9.558928E-4
1.000000E-9	-1.031262E-3
1.050000E-9	-1.116910E-3
1.100000E-9	-1.209409E-3
1.150000E-9	-1.312185E-3
1.200000E-9	-1.394407E-3
1.250000E-9	-1.442369E-3
1.300000E-9	-1.469776E-3
1.350000E-9	-1.476628E-3
1.400000E-9	-1.476628E-3
1.450000E-9	-1.466350E-3
1.500000E-9	-1.445795E-3
1.550000E-9	-1.425240E-3
1.600000E-9	-1.428666E-3
1.650000E-9	-1.442369E-3
1.700000E-9	-1.483480E-3
1.750000E-9	-1.538294E-3
1.800000E-9	-1.596534E-3
1.850000E-9	-1.665052E-3
1.900000E-9	-1.736996E-3
1.950000E-9	-1.791810E-3
2.000000E-9	-1.839772E-3
2.050000E-9	-1.877457E-3
2.100000E-9	-1.877457E-3
2.150000E-9	-1.812365E-3
2.200000E-9	-1.726718E-3
2.250000E-9	-1.644497E-3
2.300000E-9	-1.541720E-3
2.350000E-9	-1.418388E-3
2.400000E-9	-1.315611E-3
2.450000E-9	-1.247093E-3
2.500000E-9	-1.175150E-3
2.550000E-9	-1.120336E-3
2.600000E-9	-1.096354E-3
2.650000E-9	-1.089503E-3
2.700000E-9	-1.092928E-3
2.750000E-9	-1.106632E-3
2.800000E-9	-1.116910E-3
2.850000E-9	-1.127187E-3
2.900000E-9	-1.147743E-3
2.950000E-9	-1.188853E-3
3.000000E-9	-1.226538E-3
3.050000E-9	-1.250519E-3
3.100000E-9	-1.271075E-3
3.150000E-9	-1.295056E-3
3.200000E-9	-1.315611E-3
3.250000E-9	-1.325889E-3
3.300000E-9	-1.343018E-3
3.350000E-9	-1.367000E-3
3.400000E-9	-1.380703E-3
3.450000E-9	-1.380703E-3
3.500000E-9	-1.367000E-3
3.550000E-9	-1.353296E-3
3.600000E-9	-1.349870E-3
3.650000E-9	-1.353296E-3
3.700000E-9	-1.339592E-3
3.750000E-9	-1.322463E-3
3.800000E-9	-1.325889E-3
3.850000E-9	-1.349870E-3
3.900000E-9	-1.367000E-3
3.950000E-9	-1.377277E-3
4.000000E-9	-1.397833E-3
4.050000E-9	-1.411536E-3
4.100000E-9	-1.414962E-3
4.150000E-9	-1.408110E-3
4.200000E-9	-1.397833E-3
4.250000E-9	-1.373851E-3
4.300000E-9	-1.353296E-3
4.350000E-9	-1.370426E-3
4.400000E-9	-1.411536E-3
4.450000E-9	-1.449221E-3
4.500000E-9	-1.466350E-3
4.550000E-9	-1.486906E-3
4.600000E-9	-1.524591E-3
4.650000E-9	-1.545146E-3
4.700000E-9	-1.548572E-3
4.750000E-9	-1.548572E-3
4.800000E-9	-1.551998E-3
4.850000E-9	-1.545146E-3
4.900000E-9	-1.514313E-3
4.950000E-9	-1.466350E-3
5.000000E-9	-1.411536E-3
5.050000E-9	-1.353296E-3
5.100000E-9	-1.295056E-3
5.150000E-9	-1.253945E-3
5.200000E-9	-1.250519E-3
5.250000E-9	-1.264223E-3
5.300000E-9	-1.305334E-3
5.350000E-9	-1.384129E-3
5.400000E-9	-1.510887E-3
5.450000E-9	-1.647923E-3
5.500000E-9	-1.791810E-3
5.550000E-9	-1.956253E-3
5.600000E-9	-2.120695E-3
5.650000E-9	-2.240602E-3
5.700000E-9	-2.312545E-3
5.750000E-9	-2.319397E-3
5.800000E-9	-2.281712E-3
5.850000E-9	-2.199491E-3
5.900000E-9	-2.079585E-3
5.950000E-9	-1.911716E-3
6.000000E-9	-1.730144E-3
6.050000E-9	-1.569127E-3
6.100000E-9	-1.411536E-3
6.150000E-9	-1.267649E-3
6.200000E-9	-1.175150E-3
6.250000E-9	-1.120336E-3
6.300000E-9	-1.072373E-3
6.350000E-9	-1.038114E-3
6.400000E-9	-1.038114E-3
6.450000E-9	-1.041540E-3
6.500000E-9	-1.055244E-3
6.550000E-9	-1.086077E-3
6.600000E-9	-1.134039E-3
6.650000E-9	-1.175150E-3
6.700000E-9	-1.205983E-3
6.750000E-9	-1.247093E-3
6.800000E-9	-1.319037E-3
6.850000E-9	-1.390981E-3
6.900000E-9	-1.432092E-3
6.950000E-9	-1.462925E-3
7.000000E-9	-1.507461E-3
7.050000E-9	-1.541720E-3
7.100000E-9	-1.555424E-3
7.150000E-9	-1.555424E-3
7.200000E-9	-1.531442E-3
7.250000E-9	-1.473202E-3
7.300000E-9	-1.387555E-3
7.350000E-9	-1.301908E-3
7.400000E-9	-1.264223E-3
7.450000E-9	-1.267649E-3
7.500000E-9	-1.260797E-3
7.550000E-9	-1.236816E-3
7.600000E-9	-1.281352E-3
7.650000E-9	-1.377277E-3
7.700000E-9	-1.421814E-3
7.750000E-9	-1.445795E-3
7.800000E-9	-1.521165E-3
7.850000E-9	-1.593108E-3
7.900000E-9	-1.603386E-3
7.950000E-9	-1.613664E-3
8.000000E-9	-1.630793E-3
8.050000E-9	-1.589682E-3
8.100000E-9	-1.541720E-3
8.150000E-9	-1.545146E-3
8.200000E-9	-1.517739E-3
8.250000E-9	-1.449221E-3
8.300000E-9	-1.414962E-3
8.350000E-9	-1.394407E-3
8.400000E-9	-1.356722E-3
8.450000E-9	-1.373851E-3
8.500000E-9	-1.435517E-3
8.550000E-9	-1.435517E-3
8.600000E-9	-1.404684E-3
8.650000E-9	-1.462925E-3
8.700000E-9	-1.575979E-3
8.750000E-9	-1.658200E-3
8.800000E-9	-1.716440E-3
8.850000E-9	-1.760977E-3
8.900000E-9	-1.781532E-3
8.950000E-9	-1.812365E-3
9.000000E-9	-1.863754E-3
9.050000E-9	-1.870605E-3
9.100000E-9	-1.846624E-3
9.150000E-9	-1.843198E-3
9.200000E-9	-1.822643E-3
9.250000E-9	-1.723292E-3
9.300000E-9	-1.603386E-3
9.350000E-9	-1.521165E-3
9.400000E-9	-1.456073E-3
9.450000E-9	-1.401259E-3
9.500000E-9	-1.325889E-3
9.550000E-9	-1.212835E-3
9.600000E-9	-1.144317E-3
9.650000E-9	-1.171724E-3
9.700000E-9	-1.202557E-3
9.750000E-9	-1.199131E-3
9.800000E-9	-1.233390E-3
9.850000E-9	-1.295056E-3
9.900000E-9	-1.308759E-3
9.950000E-9	-1.308759E-3
1.000000E-8	-1.298482E-3
1.005000E-8	-1.236816E-3
1.010000E-8	-1.175150E-3
1.015000E-8	-1.175150E-3
1.020000E-8	-1.158020E-3
1.025000E-8	-1.082651E-3
1.030000E-8	-1.048392E-3
1.035000E-8	-1.099780E-3
1.040000E-8	-1.144317E-3
1.045000E-8	-1.151169E-3
1.050000E-8	-1.209409E-3
1.055000E-8	-1.322463E-3
1.060000E-8	-1.394407E-3
1.065000E-8	-1.380703E-3
1.070000E-8	-1.360148E-3
1.075000E-8	-1.387555E-3
1.080000E-8	-1.411536E-3
1.085000E-8	-1.380703E-3
1.090000E-8	-1.332741E-3
1.095000E-8	-1.315611E-3
1.100000E-8	-1.308759E-3
1.105000E-8	-1.305334E-3
1.110000E-8	-1.308759E-3
1.115000E-8	-1.315611E-3
1.120000E-8	-1.336167E-3
1.125000E-8	-1.384129E-3
1.130000E-8	-1.414962E-3
1.135000E-8	-1.418388E-3
1.140000E-8	-1.456073E-3
1.145000E-8	-1.497183E-3
1.150000E-8	-1.435517E-3
1.155000E-8	-1.257371E-3
1.160000E-8	-9.764481E-4
1.165000E-8	-4.933976E-4
1.170000E-8	3.014089E-4
1.175000E-8	1.449082E-3
1.180000E-8	3.024991E-3
1.185000E-8	5.121636E-3
1.190000E-8	7.783553E-3
1.195000E-8	1.100389E-2
1.200000E-8	1.477922E-2
1.205000E-8	1.907871E-2
1.210000E-8	2.383727E-2
1.215000E-8	2.894185E-2
1.220000E-8	3.427596E-2
1.225000E-8	3.973340E-2
1.230000E-8	4.519770E-2
1.235000E-8	5.056264E-2
1.240000E-8	5.576657E-2
1.245000E-8	6.072041E-2
1.250000E-8	6.529740E-2
1.255000E-8	6.941874E-2
1.260000E-8	7.310157E-2
1.265000E-8	7.634932E-2
1.270000E-8	7.898383E-2
1.275000E-8	8.090233E-2
1.280000E-8	8.215620E-2
1.285000E-8	8.279342E-2
1.290000E-8	8.274203E-2
1.295000E-8	8.204315E-2
1.300000E-8	8.082353E-2
1.305000E-8	7.907290E-2
1.310000E-8	7.684950E-2
1.315000E-8	7.438628E-2
1.320000E-8	7.180316E-2
1.325000E-8	6.912069E-2
1.330000E-8	6.649646E-2
1.335000E-8	6.411546E-2
1.340000E-8	6.199141E-2
1.345000E-8	6.017912E-2
1.350000E-8	5.881904E-2
1.355000E-8	5.787692E-2
1.360000E-8	5.727739E-2
1.365000E-8	5.710952E-2
1.370000E-8	5.745211E-2
1.375000E-8	5.818182E-2
1.380000E-8	5.916163E-2
1.385000E-8	6.036069E-2
1.390000E-8	6.171391E-2
1.395000E-8	6.313566E-2
1.400000E-8	6.455055E-2
1.405000E-8	6.584554E-2
1.410000E-8	6.692127E-2
1.415000E-8	6.774006E-2
1.420000E-8	6.825736E-2
1.425000E-8	6.838070E-2
1.430000E-8	6.809977E-2
1.435000E-8	6.744543E-2
1.440000E-8	6.644849E-2
1.445000E-8	6.514323E-2
1.450000E-8	6.356732E-2
1.455000E-8	6.171391E-2
1.460000E-8	5.966181E-2
1.465000E-8	5.761998E-2
1.470000E-8	5.571861E-2
1.475000E-8	5.392001E-2
1.480000E-8	5.224818E-2
1.485000E-8	5.085042E-2
1.490000E-8	4.985006E-2
1.495000E-8	4.924025E-2
1.500000E-8	4.902442E-2
1.505000E-8	4.921969E-2
1.510000E-8	4.982608E-2
1.515000E-8	5.079903E-2
1.520000E-8	5.205633E-2
1.525000E-8	5.347465E-2
1.530000E-8	5.497176E-2
1.535000E-8	5.650314E-2
1.540000E-8	5.796942E-2
1.545000E-8	5.921987E-2
1.550000E-8	6.019967E-2
1.555000E-8	6.093281E-2
1.560000E-8	6.135077E-2
1.565000E-8	6.133707E-2
1.570000E-8	6.089170E-2
1.575000E-8	6.012088E-2
1.580000E-8	5.907598E-2
1.585000E-8	5.773988E-2
1.590000E-8	5.616397E-2
1.595000E-8	5.444075E-2
1.600000E-8	5.265586E-2
1.605000E-8	5.087782E-2
1.610000E-8	4.917858E-2
1.615000E-8	4.766091E-2
1.620000E-8	4.637963E-2
1.625000E-8	4.536557E-2
1.630000E-8	4.467354E-2
1.635000E-8	4.432067E-2
1.640000E-8	4.430697E-2
1.645000E-8	4.462900E-2
1.650000E-8	4.525251E-2
1.655000E-8	4.611926E-2
1.660000E-8	4.717444E-2
1.665000E-8	4.833924E-2
1.670000E-8	4.955886E-2
1.675000E-8	5.079560E-2
1.680000E-8	5.198096E-2
1.685000E-8	5.301901E-2
1.690000E-8	5.387205E-2
1.695000E-8	5.451955E-2
1.700000E-8	5.491352E-2
1.705000E-8	5.501973E-2
1.710000E-8	5.480047E-2
1.715000E-8	5.424890E-2
1.720000E-8	5.340956E-2
1.725000E-8	5.228244E-2
1.730000E-8	5.087097E-2
1.735000E-8	4.926080E-2
1.740000E-8	4.756841E-2
1.745000E-8	4.584519E-2
1.750000E-8	4.416308E-2
1.755000E-8	4.263856E-2
1.760000E-8	4.134700E-2
1.765000E-8	4.031581E-2
1.770000E-8	3.958609E-2
1.775000E-8	3.923665E-2
1.780000E-8	3.927776E-2
1.785000E-8	3.968544E-2
1.790000E-8	4.040830E-2
1.795000E-8	4.139496E-2
1.800000E-8	4.256662E-2
1.805000E-8	4.386160E-2
1.810000E-8	4.521825E-2
1.815000E-8	4.656805E-2
1.820000E-8	4.784249E-2
1.825000E-8	4.895590E-2
1.830000E-8	4.986719E-2
1.835000E-8	5.053866E-2
1.840000E-8	5.093949E-2
1.845000E-8	5.103542E-2
1.850000E-8	5.079903E-2
1.855000E-8	5.025431E-2
1.860000E-8	4.940127E-2
1.865000E-8	4.827415E-2
1.870000E-8	4.692435E-2
1.875000E-8	4.541696E-2
1.880000E-8	4.381706E-2
1.885000E-8	4.220347E-2
1.890000E-8	4.064469E-2
1.895000E-8	3.924008E-2
1.900000E-8	3.807185E-2
1.905000E-8	3.716399E-2
1.910000E-8	3.655075E-2
1.915000E-8	3.630409E-2
1.920000E-8	3.642057E-2
1.925000E-8	3.686593E-2
1.930000E-8	3.762306E-2
1.935000E-8	3.864054E-2
1.940000E-8	3.983618E-2
1.945000E-8	4.114830E-2
1.950000E-8	4.253236E-2
1.955000E-8	4.389243E-2
1.960000E-8	4.515659E-2
1.965000E-8	4.629056E-2
1.970000E-8	4.722583E-2
1.975000E-8	4.786989E-2
1.980000E-8	4.820220E-2
1.985000E-8	4.825017E-2
1.990000E-8	4.796239E-2
1.995000E-8	4.731490E-2
2.000000E-8	4.636935E-2
2.005000E-8	4.519085E-2
2.010000E-8	4.381021E-2
2.015000E-8	4.231995E-2
2.020000E-8	4.079543E-2
2.025000E-8	3.928119E-2
2.030000E-8	3.784574E-2
2.035000E-8	3.662270E-2
2.040000E-8	3.565659E-2
2.045000E-8	3.494744E-2
2.050000E-8	3.455346E-2
2.055000E-8	3.451920E-2
2.060000E-8	3.481040E-2
2.065000E-8	3.537225E-2
2.070000E-8	3.617733E-2
2.075000E-8	3.717426E-2
2.080000E-8	3.830138E-2
2.085000E-8	3.952100E-2
2.090000E-8	4.076117E-2
2.095000E-8	4.194310E-2
2.100000E-8	4.300513E-2
2.105000E-8	4.391642E-2
2.110000E-8	4.462215E-2
2.115000E-8	4.507094E-2
2.120000E-8	4.523538E-2
2.125000E-8	4.508807E-2
2.130000E-8	4.461530E-2
2.135000E-8	4.384105E-2
2.140000E-8	4.280643E-2
2.145000E-8	4.156968E-2
2.150000E-8	4.016507E-2
2.155000E-8	3.866110E-2
2.160000E-8	3.712288E-2
2.165000E-8	3.564289E-2
2.170000E-8	3.431707E-2
2.175000E-8	3.318310E-2
2.180000E-8	3.227867E-2
2.185000E-8	3.166543E-2
2.190000E-8	3.138451E-2
2.195000E-8	3.142905E-2
2.200000E-8	3.177849E-2
2.205000E-8	3.240200E-2
2.210000E-8	3.326532E-2
2.215000E-8	3.432050E-2
2.220000E-8	3.550586E-2
2.225000E-8	3.677001E-2
2.230000E-8	3.804787E-2
2.235000E-8	3.927776E-2
2.240000E-8	4.038090E-2
2.245000E-8	4.128876E-2
2.250000E-8	4.195681E-2
2.255000E-8	4.237134E-2
2.260000E-8	4.249810E-2
2.265000E-8	4.229254E-2
2.270000E-8	4.177523E-2
2.275000E-8	4.097700E-2
2.280000E-8	3.991155E-2
2.285000E-8	3.861314E-2
2.290000E-8	3.715713E-2
2.295000E-8	3.559835E-2
2.300000E-8	3.400189E-2
2.305000E-8	3.246367E-2
2.310000E-8	3.107275E-2
2.315000E-8	2.989425E-2
2.320000E-8	2.898639E-2
2.325000E-8	2.840056E-2
2.330000E-8	2.815732E-2
2.335000E-8	2.827038E-2
2.340000E-8	2.876028E-2
2.345000E-8	2.957564E-2
2.350000E-8	3.063424E-2
2.355000E-8	3.186756E-2
2.360000E-8	3.320023E-2
2.365000E-8	3.456374E-2
2.370000E-8	3.588613E-2
2.375000E-8	3.707834E-2
2.380000E-8	3.805814E-2
2.385000E-8	3.877758E-2
2.390000E-8	3.922295E-2
2.395000E-8	3.935656E-2
2.400000E-8	3.914758E-2
